DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2009,442940,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2010,458856,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2011,385793,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2012,350772,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2013,307454,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2014,277631,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2015,280078,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2016,300823,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2017,343440,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2018,332324,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2019,332778,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2020,247526,
