DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2005,0.6,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2006,2.0,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2007,1.2,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2008,0.2,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2009,-1.6,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2010,-0.6,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2011,0.3,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2012,-0.3,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2013,-1.8,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2014,0.1,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2015,0.7,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2016,1.4,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2017,1.2,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2018,0.9,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2019,0.5,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2020,-2.1,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2021,0.6,
ESTAT:TESEM040(1.0),27/03/23 23:00:00,A,PCH_PRE_PER,EMP_DC,IT,2022,1.7,
